,close,high,low,open,time,volumefrom,volumeto,timestamp
0,6874.92,6922.84,6676.72,6762.34,1523329200,62368.82,427145698.14,2018-04-09 23:00:00
1,6972.31,6999.37,6839.16,6874.92,1523415600,68673.04,477562601.51,2018-04-10 23:00:00
2,7889.6,8051.95,6791.33,6972.31,1523502000,205704.4,1566177958.06,2018-04-11 23:00:00
3,8050.14,8237.16,7777.88,7889.6,1523588400,138149.95,1112995908.11,2018-04-12 23:00:00
4,8111.37,8195.34,7891.69,8050.11,1523674800,67442.65,544598917.86,2018-04-13 23:00:00
5,8163.13,8437.03,8077.2,8111.44,1523761200,78589.16,653319071.32,2018-04-14 23:00:00
6,8060.36,8198.5,7929.24,8163.13,1523847600,72982.88,590329569.65,2018-04-15 23:00:00
7,7939.33,8187.6,7858.12,8060.36,1523934000,71844.59,579678816.21,2018-04-16 23:00:00
8,8241.97,8293.55,7912.56,7939.33,1524020400,80774.91,658385166.38,2018-04-17 23:00:00
9,8355.44,8415.48,8136.47,8241.97,1524106800,75897.05,630039997.99,2018-04-18 23:00:00
10,8864.67,8945.14,8243.49,8355.44,1524193200,108531.99,933087274.44,2018-04-19 23:00:00
11,8874.4,9047.82,8631.18,8864.67,1524279600,89857.9,795715155.74,2018-04-20 23:00:00
12,8880.8,9043.98,8788.44,8874.59,1524366000,68393.52,611790207.11,2018-04-21 23:00:00
13,9211.05,9246.52,8847.6,8880.8,1524452400,80898.02,730142338.93,2018-04-22 23:00:00
14,9695.15,9765.23,9192.94,9211.0,1524538800,134659.98,1272488970.83,2018-04-23 23:00:00
15,8859.67,9726.52,8669.38,9695.15,1524625200,189302.55,1728456110.67,2018-04-24 23:00:00
16,9268.18,9315.13,8675.07,8862.02,1524711600,99936.97,898388398.96,2018-04-25 23:00:00
17,9061.25,9385.87,8892.52,9268.18,1524798000,82093.4,756675732.38,2018-04-26 23:00:00
18,9516.52,9552.67,9060.62,9061.25,1524884400,89035.8,831884690.58,2018-04-27 23:00:00
19,9441.52,9518.22,9189.07,9516.52,1524970800,59219.96,555251980.35,2018-04-28 23:00:00
20,9020.95,9459.81,8899.88,9441.72,1525057200,79905.49,737190797.24,2018-04-29 23:00:00
21,9052.71,9107.87,8851.1,9024.19,1525143600,56856.52,513299701.3,2018-04-30 23:00:00
