,close,high,low,open,time,volumefrom,volumeto,timestamp
0,6346.29,6350.13,6344.75,6345.02,1530381120,17.55,112244.91,2018-06-30 13:52:00
1,6344.37,6350.25,6344.37,6346.29,1530381180,13.94,89008.45,2018-06-30 13:53:00
2,6343.34,6348.69,6343.25,6344.63,1530381240,27.31,173829.05,2018-06-30 13:54:00
3,6343.51,6346.06,6340.1,6346.06,1530381300,28.71,182348.24,2018-06-30 13:55:00
4,6340.57,6344.57,6339.88,6343.51,1530381360,16.87,107212.22,2018-06-30 13:56:00
5,6340.11,6343.64,6337.89,6340.57,1530381420,67.53,428689.48,2018-06-30 13:57:00
6,6332.22,6340.22,6331.84,6340.11,1530381480,37.33,236890.95,2018-06-30 13:58:00
7,6335.98,6336.13,6329.52,6332.22,1530381540,101.52,643789.92,2018-06-30 13:59:00
8,6334.87,6341.38,6334.87,6334.88,1530381600,19.21,122134.72,2018-06-30 14:00:00
9,6343.88,6344.06,6334.63,6335.61,1530381660,62.74,398321.89,2018-06-30 14:01:00
10,6344.62,6345.7,6341.21,6343.49,1530381720,16.07,101478.54,2018-06-30 14:02:00
11,6344.38,6345.97,6342.62,6344.62,1530381780,16.9,107813.0,2018-06-30 14:03:00
12,6346.82,6346.97,6342.24,6344.51,1530381840,34.49,219284.63,2018-06-30 14:04:00
13,6341.69,6347.7,6341.53,6346.62,1530381900,26.81,170019.53,2018-06-30 14:05:00
14,6344.39,6346.1,6341.66,6341.69,1530381960,21.59,137489.93,2018-06-30 14:06:00
15,6342.1,6347.01,6341.95,6344.39,1530382020,24.0,152175.73,2018-06-30 14:07:00
16,6344.86,6347.16,6342.07,6342.07,1530382080,25.57,162427.74,2018-06-30 14:08:00
17,6346.48,6347.11,6342.81,6344.86,1530382140,24.61,156407.8,2018-06-30 14:09:00
18,6344.77,6347.59,6343.27,6346.47,1530382200,29.65,188465.07,2018-06-30 14:10:00
19,6343.7,6346.75,6341.85,6344.77,1530382260,22.91,146565.52,2018-06-30 14:11:00
20,6336.14,6343.7,6335.05,6343.7,1530382320,41.68,268543.66,2018-06-30 14:12:00
21,6337.46,6338.47,6335.18,6336.12,1530382380,26.86,174243.92,2018-06-30 14:13:00
22,6335.92,6339.11,6333.75,6337.46,1530382440,29.16,185869.13,2018-06-30 14:14:00
23,6335.41,6338.66,6333.65,6335.92,1530382500,21.93,139292.06,2018-06-30 14:15:00
24,6333.5,6337.63,6333.33,6335.44,1530382560,19.12,122471.83,2018-06-30 14:16:00
25,6332.79,6335.39,6331.95,6333.5,1530382620,43.99,279320.48,2018-06-30 14:17:00
26,6337.47,6337.84,6332.5,6332.5,1530382680,25.25,161576.68,2018-06-30 14:18:00
27,6339.19,6339.19,6333.81,6337.47,1530382740,12.44,78943.03,2018-06-30 14:19:00
28,6338.75,6339.46,6334.42,6339.2,1530382800,26.23,166420.22,2018-06-30 14:20:00
29,6337.09,6339.4,6335.03,6338.75,1530382860,14.7,93316.11,2018-06-30 14:21:00
30,6336.56,6341.74,6336.01,6337.26,1530382920,28.02,177587.38,2018-06-30 14:22:00
31,6335.43,6337.93,6334.19,6335.63,1530382980,33.52,212742.93,2018-06-30 14:23:00
32,6335.6,6338.28,6334.8,6335.65,1530383040,25.18,159802.58,2018-06-30 14:24:00
33,6336.44,6339.32,6333.78,6335.98,1530383100,21.14,134401.7,2018-06-30 14:25:00
34,6337.64,6338.02,6332.71,6336.23,1530383160,16.59,105689.34,2018-06-30 14:26:00
35,6335.45,6338.77,6333.61,6337.64,1530383220,24.91,158191.95,2018-06-30 14:27:00
36,6336.11,6336.43,6333.08,6336.42,1530383280,30.11,191598.76,2018-06-30 14:28:00
37,6335.25,6336.11,6332.45,6336.11,1530383340,19.91,126548.21,2018-06-30 14:29:00
38,6336.0,6336.69,6332.47,6335.25,1530383400,77.88,493857.09,2018-06-30 14:30:00
39,6330.14,6336.02,6329.58,6336.0,1530383460,33.24,212077.7,2018-06-30 14:31:00
40,6333.3,6334.68,6329.09,6330.14,1530383520,18.27,116798.38,2018-06-30 14:32:00
41,6328.36,6335.99,6328.36,6333.56,1530383580,23.9,151929.52,2018-06-30 14:33:00
42,6325.71,6329.5,6325.71,6328.36,1530383640,26.4,167293.42,2018-06-30 14:34:00
43,6326.58,6329.01,6325.39,6325.71,1530383700,18.59,117988.59,2018-06-30 14:35:00
44,6330.3,6330.3,6324.62,6326.58,1530383760,20.78,131747.5,2018-06-30 14:36:00
45,6329.93,6330.63,6324.83,6329.95,1530383820,29.93,189608.09,2018-06-30 14:37:00
46,6321.67,6330.01,6321.59,6329.4,1530383880,78.83,498668.07,2018-06-30 14:38:00
